,,PERMIT STATUS,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PERMIT SUB-TYPE,PERMIT GROUP,PERMIT NUMBER,PERMIT TYPE,PLAN CHECK SUBMITTAL DATE,SQUARE FOOTAGE,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT
Permits without CofO ,276,Intent to Revoke,3.0,,1.0,2016-02-26 13:59:00,7354-7354 1/2 N KELVIN AVE,1 or 2 Family Dwelling,Building,16014-10000-00504,Bldg-Addition,,429.0,"Proposed Conversion Of Accesory Living Quarter And Garage To Second Dwelling Per Zoning Memorandum No 120.  Work Per Wfpp. (Recheck Ecpc As Well).
",91306.0,1.0
Permits with CofO,1008,CofO Corrected,3.0,,1.0,2008-08-15 14:08:00,7357 N ETIWANDA AVE,1 or 2 Family Dwelling,Building,08014-20000-03297,Bldg-Addition,,640.0,"Addition To (E) Det. Garage/Storage & Chg Use To 2nd Dwlg - Per Ab 1866, Type ""V"" Is Part Of The Plan. See Comments.",91335.0,1.0
Applications Submitted,10,PC Approved,15.0,,1.0,,737 W 14TH ST,1 or 2 Family Dwelling,Building,04010-30000-01152,Bldg-New,2004-03-18 00:00:00,,Additional Plan Check To Revise B03sp0603 To Detached Garage And Rec. Room Above Inlieu Of New Second Unit At Rear.  Final Permit Will Be Issued On Original Plan Check B03sp0603.,90731.0,1.0
Permits with CofO,714,CofO Issued,15.0,2015-12-07 14:58:00,1.0,2014-09-30 11:03:00,737-737 1/2 W 19TH ST,1 or 2 Family Dwelling,Building,14016-10000-14825,Bldg-Alter/Repair,,0.0,"Convert Sfd To A Duplex 31'-2"""" X 27'-2"" New Second Unit Measures 27'-2"" 15'3"" Irregular",90731.0,1.0
Applications Submitted,621,Reviewed by Supervisor,9.0,,1.0,,739 E 92ND ST,1 or 2 Family Dwelling,Building,17010-70000-01296,Bldg-New,2017-03-29 00:00:00,872.25,"New 1,418sft 2 Story Adu With 2 Car Garage And Laundry At The First Floor",90002.0,1.0
Permits with CofO,185,CofO Issued,15.0,2008-05-06 16:06:00,1.0,2008-01-17 14:41:00,739 W 134TH ST,1 or 2 Family Dwelling,Building,07010-70000-04151,Bldg-New,,637.5,(N) One Story Single Family Dwelling Per Ab 1866. (2nd Unit On Lot),90247.0,1.0
Permits with CofO,847,CofO Issued,8.0,2017-01-13 07:58:00,1.0,2015-02-09 14:02:00,740 W 104TH ST,1 or 2 Family Dwelling,Building,14010-10000-01898,Bldg-New,,1200.0,New 2-Story 2nd Dwelling With Attached 1-Car Garage Pursuant To Ab1866.  Fully Sprinklered With Nfpa-13d.,90044.0,1.0
Applications Submitted,27,Corrections Issued,3.0,,1.0,,7403 N BECKFORD AVE,1 or 2 Family Dwelling,Building,05010-20000-00907,Bldg-New,2005-03-02 00:00:00,812.5,New 2nd Dwelling. Max. Allowed Floor Area To Be 640 Sq. Ft.,91335.0,1.0
Permits without CofO ,65,Permit Expired,3.0,,1.0,2008-10-24 13:55:00,7412 N VASSAR AVE,1 or 2 Family Dwelling,Building,08016-20000-17088,Bldg-Alter/Repair,,616.0,"Convert 14.5' X 42.5' Of (E) Sfd To A Second Unit, Creating Duplex Per Ab 1866",91303.0,1.0
Permits with CofO,674,CofO Issued,3.0,2015-08-13 15:23:00,1.0,2015-04-29 09:39:00,7419 N ETIWANDA AVE,1 or 2 Family Dwelling,Building,15010-20000-01105,Bldg-New,,1148.0,"Propose New Single Story Type V, Nfpa13d Sprinkler Throughout 44' X 26' Detached 2nd Unit With 4' X 18.5' Attached Patio Cover Per Memorandum Za-120. Construction Is  Per Wfpp Details.",91335.0,1.0
Permits with CofO,724,CofO Issued,3.0,2016-01-25 14:31:00,1.0,2015-02-06 14:08:00,7423-7425 N ALABAMA AVE,1 or 2 Family Dwelling,Building,14010-30000-03839,Bldg-New,,1070.0,New Second Dwelling Unit With Attached Per Ab 1866 ,91303.0,1.0
Permits without CofO ,352,Issued,6.0,,1.0,2016-12-27 10:26:00,7425 N ENCINO AVE,1 or 2 Family Dwelling,Building,16010-30000-04399,Bldg-New,,948.0,"Fully Sprinklered 21'2"" X 54' Irreg. Shaped One Story Second Dwelling Per Ordinance #184510",91406.0,1.0
Permits with CofO,4,CofO Issued,3.0,2005-05-05 13:17:00,1.0,2004-12-08 00:00:00,7430 N BECKFORD AVE,1 or 2 Family Dwelling,Building,04016-20000-23672,Bldg-Alter/Repair,,400.0,"Convert 400 S.F. Garage Portion Of (E) Accessory Living Quarters W/ Attached Garage To Habitable Space And Convert Entire Bldg To Sfd Per Ab 1866.  Sfd Will Consist Of 2 Bedrooms, Living Room, Kitchen, And Bathroom.  Replace Roof Rafters & Ceiling Joists And Apply New Roofing.  All Work To Be Per Type V Sheet.  Comply With Code Enforcement Order Updated 5-01-01 - Permit Will Expire 30 Days From Issuance Date.",91335.0,1.0
Permits without CofO ,2,Permit Expired,3.0,,1.0,2003-09-08 00:00:00,7430 N ENFIELD AVE,1 or 2 Family Dwelling,Building,03016-20000-17189,Bldg-Alter/Repair,,,Chg Of Use From Sfd W/ Garage To Duplex  Per Ab1866.,91335.0,1.0
Permits with CofO,524,CofO Issued,3.0,2013-12-26 14:27:00,1.0,2013-07-05 08:09:00,7431 N HESPERIA AVE,1 or 2 Family Dwelling,Building,13010-20000-01167,Bldg-New,,1102.0,(N) 29' X 38' Second Dwelling Unit Per Za-120.,91335.0,1.0
Permits with CofO,935,Permit Finaled,3.0,,1.0,2004-03-25 00:00:00,7433 N YARMOUTH AVE,1 or 2 Family Dwelling,Building,04016-20000-04017,Bldg-New,,640.0,"Change Of Use Of Recreation Room To Second Dwelling Unit Per Ab1866. Includes Remodel And Addition To Existing Building, Elect, Plumbing, And Hvac Permits. Eqso Required.",91335.0,1.0
Permits with CofO,146,CofO Issued,2.0,2007-10-30 15:10:00,1.0,2007-05-09 00:00:00,7434-7436 N DENNY AVE,1 or 2 Family Dwelling,Building,07014-20000-01958,Bldg-Addition,,1451.0,"Addition To Make A 2nd Unit <Permit Is Good For 30 Days Per Electronic Notice From
Code Enforcement>  <<Second Unit Per State Law Exemption -572sqft For Second Unit>",91352.0,1.0
Permits with CofO,401,CofO Issued,2.0,2012-02-29 15:24:00,1.0,2010-11-01 14:47:00,7437 N CARTWRIGHT AVE,1 or 2 Family Dwelling,Building,10014-20000-04051,Bldg-Addition,,360.0,Proposed 12' X 30' Addition To (E) Detached Garage To Create A 2nd Unit Per Za 120.,91352.0,1.0
Permits with CofO,637,CofO Issued,9.0,2015-03-21 09:50:00,1.0,2015-01-08 09:05:00,744-746 E 76TH PL,1 or 2 Family Dwelling,Building,14016-20000-24678,Bldg-Alter/Repair,,1620.0,"Convert (E) Irregular 17'-6"" X 41'-8"" Portion Of An (E) Sfd Into A Second Unit For A New Duplex Per Wfpp.",90001.0,1.0
Applications Submitted,1,Corrections Issued,3.0,,1.0,,7440 N BECKFORD AVE,1 or 2 Family Dwelling,Building,03016-20000-15908,Bldg-Alter/Repair,2003-08-11 00:00:00,587.0,Convert Existing 22'X34' Accessory Living Quarters To 2nd Dwelling Unit.  Add Kitchen Within Existing Building.,91335.0,1.0
Permits without CofO ,293,Issued,3.0,,,2016-09-26 10:44:00,7445 N JORDAN AVE,1 or 2 Family Dwelling,Building,15014-70001-01184,Bldg-Alter/Repair,,,Change Work Description Of Permit Number 15014-70000-01184 To Read Change Use Of Recreation Room To Second Dwelling Unit Per Ordinance 184510. No Fee Department Error.,91303.0,1.0
Permits without CofO ,322,Issued,11.0,,1.0,2016-10-26 10:44:00,7445 W 81ST ST,1 or 2 Family Dwelling,Building,16010-30000-00530,Bldg-New,,980.0,New Second Dwelling Unit At Rear Of The Lot Per Ordinance 184510  With Attached 1-Car Garage For Unit In Front. Uncovered Parking Being Provided For The Rear Unit (Unit In Front Under 16014-30000-00530),90045.0,1.0
Permits with CofO,895,CofO Issued,4.0,2017-07-07 19:55:00,1.0,2013-10-01 14:08:00,7451 W WOODROW WILSON DR,1 or 2 Family Dwelling,Building,13010-20000-00778,Bldg-New,,1200.0,New Second Dwelling Unit Per Za 120. ,90068.0,1.0
Permits with CofO,722,CofO Issued,2.0,2016-01-11 15:01:00,1.0,2015-02-10 11:49:00,7456 N KRAFT AVE,1 or 2 Family Dwelling,Building,14010-20000-01052,Bldg-New,,1179.0,"New 38' X 24'6"" 2 Story Dwelling With Attached 2 Car Garage Per Za Memo 120. The Building Shall Be Equipped With An Automatic Residential Fire Sprinkler System In Accordance With Section R313.3 Or Nfpa13d.",91605.0,1.0
Applications Submitted,601,Reviewed by Supervisor,7.0,,1.0,,7457 W VALAHO LANE,1 or 2 Family Dwelling,Building,17016-20000-04829,Bldg-Alter/Repair,2017-03-02 00:00:00,440.0,"Convert Existng Storage Building Into Accessory Dwelling Unit As Per Ab 2299 And Sb 1069 
Submittal To Allow Adu In Os Zone",91042.0,1.0
Permits with CofO,189,CofO Issued,3.0,2008-06-04 13:39:00,1.0,2007-06-20 00:00:00,7459 N REMMET AVE,1 or 2 Family Dwelling,Building,07014-20000-00127,Bldg-Addition,,657.0,Legalize 2nd Unit <361sqft> Per State Law Execption And First Unit Addition,91303.0,1.0
Permits with CofO,638,CofO Issued,11.0,2015-03-21 16:55:00,1.0,2012-06-04 10:02:00,7480 S OSAGE AVE,1 or 2 Family Dwelling,Building,12010-30000-00347,Bldg-New,,1054.0,"(N) 2-Story Second Dwelling Unit (20' X 30', 1200sf) Per Za Memorandum 120",90045.0,1.0
Permits with CofO,410,CofO Issued,3.0,2012-03-22 14:05:00,1.0,2011-10-24 14:04:00,7501 N WHITE OAK AVE,1 or 2 Family Dwelling,Building,11010-20000-01635,Bldg-New,,826.0,"Second Dwelling Unit (62'6"" X21'7"") With Attached Garage Per Za120.",91335.0,1.0
Permits with CofO,991,CofO Corrected,9.0,,1.0,2007-03-13 00:00:00,7501-7501 1/2 S SAN PEDRO ST,1 or 2 Family Dwelling,Building,07016-30000-04456,Bldg-Alter/Repair,,0.0,"To Legalize The Second Unit In Existing 1 Story Sfd. ""Comply With Department Order Effective Date
03/02/2007. Permit Will Expire 30 Days From Issuance Date"".",90003.0,1.0
Applications Submitted,565,Reviewed by Supervisor,3.0,,0.0,,7502 N YARMOUTH AVE,1 or 2 Family Dwelling,Building,16010-20000-04514,Bldg-New,2016-09-30 00:00:00,770.0,New ___ X ___ One Story Second Dwelling Unit With Attached __X __ Attached Garage Per Ordinance 184510; Equipped With Nfpa-13d Fire Sprinklers Through Out,91335.0,1.0
Permits with CofO,565,CofO Issued,2.0,2014-06-10 13:42:00,1.0,2012-05-11 12:38:00,7506 W APPERSON ST,1 or 2 Family Dwelling,Building,12016-20000-07941,Bldg-Alter/Repair,,0.0,Convert Acessory Living Quarters To Second Dwelling Unit.,91042.0,1.0
Applications Submitted,191,Reviewed by Supervisor,2.0,,1.0,,7508 N DENNY AVE,1 or 2 Family Dwelling,Building,11014-20000-00825,Bldg-Addition,2011-03-17 00:00:00,709.0,"Remove ___ X ____ To 18'6"" X 22'6"" And Add 2nd Unit Per Za. 120 W/New Uncovered Pkg Stall.
Comply With Department Order Effective Date
11/07/2007. Permit Will Expire 30 Days From Issuance Date",91352.0,1.0
Permits with CofO,812,CofO Issued,3.0,2016-09-29 07:34:00,1.0,2016-02-11 09:35:00,7509 N LINDLEY AVE,1 or 2 Family Dwelling,Building,15010-20000-04489,Bldg-New,,1213.32,"(N) 1-Story 2nd Dwelling Unit Per Za Memorandum 120 W/ Attached Patio Cover (4'-6"" X 25') Per Wfpp (Nfpa-13d Fire Sprinklers Throughout)",91335.0,1.0
Permits with CofO,397,CofO Issued,15.0,2012-02-07 15:08:00,1.0,2011-05-10 09:33:00,751 W 3RD ST,1 or 2 Family Dwelling,Building,10010-40000-02154,Bldg-New,,820.0,New 2 Story Second Dwelling Unit With Attached Garage.,90731.0,1.0
Permits with CofO,34,CofO Issued,2.0,2006-03-14 15:12:00,1.0,2005-08-29 00:00:00,7518 N DENNY AVE,1 or 2 Family Dwelling,Building,05010-20000-04190,Bldg-New,,637.0,"New 22' 9"" X 28' Second Dwelling Per Ab 1866 With Open Parking",91352.0,1.0
Permits with CofO,200,CofO Issued,3.0,2008-06-27 14:55:00,1.0,2006-07-10 00:00:00,7518 N VASSAR AVE,1 or 2 Family Dwelling,Building,06016-20000-11575,Bldg-Alter/Repair,,640.0,"Original Permit, New 2-Car Garage & Acc. Liv. Quarters Above,                                           (((This Permit To Convert The Acc. Liv. Quarters To 2nd Dwelling 640 S.F. )))  ",91303.0,1.0
Permits with CofO,979,Permit Finaled,9.0,,,2006-08-11 00:00:00,7518 S SAN PEDRO ST #2,Apartment,Building,06016-10000-10694,Bldg-Alter/Repair,,,Interior Alterations To Dwelling Unit [Second Unit On First Floor].  Add Floor Beam And Post.,90003.0,1.0
Applications Submitted,4,Reviewed by Supervisor,3.0,,1.0,,7519 N OWENSMOUTH AVE,1 or 2 Family Dwelling,Building,03014-20000-10033,Bldg-Addition,2003-12-16 00:00:00,639.0,"Convert (E) Detached Garage & Add 28'X17'11"" L-Shaped Addition To The Rear Of (E) Garage To Create Second Dwelling Unit Per Std Type V Sheet In Accordance With State Assembly Bill (Ab) 1866.",91303.0,1.0
Permits without CofO ,409,Issued,3.0,,1.0,2017-04-28 13:39:00,7520 N ETIWANDA AVE,1 or 2 Family Dwelling,Building,17014-20000-00261,Bldg-Addition,,967.0,"20' X 24'-4"" Addition To (E) Recroom And Convert To Adu Per Ab 2299 And Sb 1069",91335.0,1.0
Permits without CofO ,16,Permit Expired,3.0,,1.0,2005-02-02 00:00:00,7523 N DARBY AVE,1 or 2 Family Dwelling,Building,04016-20000-23164,Bldg-Alter/Repair,,475.0,"Convert 475 S.F. (E) Rec. Room To 2nd Dwelling & Remodel,  And  (E) Carport To Comply With Zoning Code Side, & Rear Yards Seback And Min. 10' Separation. ((Modif. Approved On 1/26/05)).",91335.0,1.0
Permits with CofO,994,CofO Corrected,3.0,,1.0,2007-07-13 00:00:00,7525 N YARMOUTH AVE,1 or 2 Family Dwelling,Building,07014-20000-03599,Bldg-Addition,,2306.0,2-Story Addition To (E) Single Family Dwelling W/ Attached Garage To Add Second Dwelling Unit (Convert To Duplex) Per Ab 1866.,91335.0,1.0
Permits with CofO,25,CofO Issued,6.0,2006-01-26 13:45:00,1.0,2005-02-25 00:00:00,7529 N AQUEDUCT AVE,1 or 2 Family Dwelling,Building,05010-20000-00671,Bldg-New,,563.0,"(N) Sfd Per Ab 1866:  Sfd Consists Of Bedroom, Bathroom, Living Room, And Kitchen.  All Work To Be Per Type V Sheet.",91406.0,1.0
Permits with CofO,741,CofO Issued,6.0,2016-03-04 10:05:00,0.0,2012-01-10 14:58:00,7531 N AQUEDUCT AVE,1 or 2 Family Dwelling,Building,11014-20000-03365,Bldg-Addition,,1133.0,"Comply With Order To Comply Dated 7/27/11. Demo Portion Of Exist Two Car Garage And Convert To A 17' X 19' Family Rm With Bathrm, Add 10' X 17' Bedrm To Connect This Converted Garage With Exist 2nd Unit Per Ab 1866 To Create A 2nd Unit Per Za Memo 120 With A Floor Area Of 1133 Sq Ft.  Permit Valid For 30 Days From Issuance Date.",91406.0,1.0
Permits with CofO,190,CofO Issued,3.0,2008-06-04 14:07:00,1.0,2007-08-24 10:38:00,7533 N CHIMINEAS AVE,1 or 2 Family Dwelling,Building,06010-20000-04140,Bldg-New,,640.0,"New 2nd Dwlg Per Ab 1866,  640 S.F.  Per Type V.",91335.0,1.0
Permits with CofO,13,CofO Issued,6.0,2005-10-06 13:31:00,1.0,2005-06-23 00:00:00,7536-7538 N CAMELLIA AVE,1 or 2 Family Dwelling,Building,05010-10000-02414,Bldg-New,,637.5,"New 1-Story Single Family Dwelling [637.50 S.F. Second Unit On R1 Zone] Per Type V.
Comply With Department
Order Effective Date 03/02/2005. Permit Will
Expire 30 Days From Issuance Date",91605.0,1.0
Permits with CofO,91,CofO Issued,6.0,2006-11-13 10:28:00,1.0,2005-12-21 00:00:00,7537 N CAMELLIA AVE,1 or 2 Family Dwelling,Building,05010-20000-06194,Bldg-New,,1482.0,New Second Dwelling Unit Per Ab 1866 With Attached / 2 Car Garage & Storage Room.,91605.0,1.0
Permits with CofO,1113,CofO Corrected,2.0,,1.0,2016-09-26 10:02:00,7538 N DENNY AVE,1 or 2 Family Dwelling,Building,16010-20000-00182,Bldg-New,,1172.0,"New 22'-6"" X 34'-0"" 2-Story Second Dwelling Unit Per Ordinance 184510. All Work Per Engineering.",91352.0,1.0
Permits with CofO,326,CofO Issued,6.0,2010-06-17 09:37:00,1.0,2004-12-23 00:00:00,7538 N FORBES AVE,1 or 2 Family Dwelling,Building,04010-20000-05861,Bldg-New,,639.0,New 2nd Dwelling Unit Per Ab 1866.,91406.0,1.0
Permits with CofO,175,CofO Issued,6.0,2008-03-19 14:46:00,1.0,2007-01-12 00:00:00,7538 N SATSUMA AVE,1 or 2 Family Dwelling,Building,06010-20000-05103,Bldg-New,,640.0,2nd Unit (24'X26.5') =640 S.F. And (20'X20)=400 Sf Att. Garage W/New Open Space.,91352.0,1.0
Applications Submitted,141,Corrections Issued,3.0,,1.0,,7538 N TAMPA AVE,1 or 2 Family Dwelling,Building,08010-20000-02962,Bldg-New,2008-12-04 00:00:00,639.0,(N) 2nd Dwlg - Per Ab 1866,91335.0,1.0
Applications Submitted,667,Reviewed by Supervisor,2.0,,,,7539 N FARMDALE AVE,1 or 2 Family Dwelling,Building,17010-20000-02112,Bldg-New,2017-06-01 00:00:00,,"Propose 40'X44' One Story Accessory Dwelling Unit (Per Ab 2299 & Sb 1069) With Attached Recreation Room, Patio Cover And One Open Standard Parking Stall

*Adu Max 1200 Sf & Total Accessory Building Shall Be < That Of The Main House = 985sf",91605.0,1.0
Applications Submitted,493,Reviewed by Supervisor,3.0,,1.0,,7541 N YARMOUTH AVE,1 or 2 Family Dwelling,Building,16016-20000-03480,Bldg-Alter/Repair,2016-02-17 00:00:00,0.0,"Remodel To Convert (E)29' X 34'-3"" Irreg. Shaped Portion Of Sfd Into 2nd Dwelling Per Za Memo #120",91335.0,1.0
Permits with CofO,943,Permit Finaled,3.0,,1.0,2004-05-12 00:00:00,7543-7545 N CHIMINEAS AVE,1 or 2 Family Dwelling,Building,04014-20000-03675,Bldg-Addition,,568.0,"Enclose Porch Convert Portion Of Sfd To Second Dweling Unit Per Ab 1866. Includes Elect, Plumbing, And Hvac Permits. Eqso Required. And To Comply With Otc Datedmarch 5, 2004. This Permit Expires 30 Days From Date Of Issue.",91335.0,1.0
Permits with CofO,1119,CofO Corrected,2.0,,1.0,2016-10-20 09:30:00,7544 N DENNY AVE,1 or 2 Family Dwelling,Building,16010-20000-00183,Bldg-New,,1172.0,"New 22'-6"" X 34'-0"" 2-Story 2nd Dwelling Unit Per Ordinance 184510. All Work Per Engineering",91352.0,1.0
Applications Submitted,213,Reviewed by Supervisor,2.0,,1.0,,7546 N SATSUMA AVE,1 or 2 Family Dwelling,Building,11010-20000-01905,Bldg-New,2011-09-20 00:00:00,1200.0,(N) 35' X  35' 1 Story 2nd Dwelling. Per Za 120,91352.0,1.0
Permits with CofO,279,CofO Issued,6.0,2009-05-20 10:23:00,1.0,2009-02-06 09:01:00,7548 N FARMDALE AVE,1 or 2 Family Dwelling,Building,09010-20000-00005,Bldg-New,,638.0,New 2nd Dwelling Unit (638 Sf) With Attached 2-Car Garage (501 Sf) At Rear Portion Of Lot. *Exempt From Mansionization*,91605.0,1.0
Permits without CofO ,43,Permit Expired,9.0,,1.0,2007-08-15 00:00:00,755 1/2 E 54TH ST,1 or 2 Family Dwelling,Building,07010-20000-02937,Bldg-New,,357.0,"New 15'4""X21' 1-Story, 2nd Dwelling Unit Per Type V Sheet.",90011.0,1.0
Applications Submitted,185,Reviewed by Supervisor,15.0,,,,761 W 117TH ST,1 or 2 Family Dwelling,Building,10010-10000-02747,Bldg-New,2010-12-30 00:00:00,1026.0,New 2-Story Sfd  -  2nd Unit Per Ab1866.,90044.0,1.0
Applications Submitted,370,Reviewed by Supervisor,11.0,,1.0,,7612 S COWAN AVE,1 or 2 Family Dwelling,Building,14016-30000-15289,Bldg-Alter/Repair,2014-09-04 00:00:00,0.0,Comply With Insp Order Dated 10/23/13 To Convert 765 Sq Ft Portion Of Exist Sfd Into A 2nd Dwlg Unit Per Za Memo 120.,90045.0,1.0
Permits without CofO ,251,Issued,6.0,,1.0,2015-12-18 09:29:00,7623 N HINDS AVE,1 or 2 Family Dwelling,Building,15010-20000-03408,Bldg-New,,1113.0,"Fully Sprinklered 2 Story 2nd Dwelling Per Za Memo #120.  1st Floor Is 40' X 18 & 2nd Floor Is 29'-8"" X 18' Irreg. Shaped.",91605.0,1.0
Permits without CofO ,203,Issued,12.0,,1.0,2015-07-20 08:44:00,7641 N JELLICO AVE,1 or 2 Family Dwelling,Building,15010-20000-00092,Bldg-New,,935.0,"Build New 25' X 40' (3) Bedrooms, (1) ¾ Bath Type V, Nfpa13-D Fire Sprinkler Throughout, 1 Story 2nd Unit Per Za-120 Memorandum.

",91325.0,1.0
Applications Submitted,692,Corrections Issued,6.0,,1.0,,7641 N TUJUNGA AVE,1 or 2 Family Dwelling,Building,17016-10000-16252,Bldg-Alter/Repair,2017-06-16 00:00:00,360.0,Convert (E) Detached One Story Garage (18' X 20') To Adu Per Ab 2299 And Sb 1069,91605.0,1.0
Permits without CofO ,114,Issued,6.0,,1.0,2013-01-25 12:32:00,7643 N WISH AVE,1 or 2 Family Dwelling,Building,12010-20000-01918,Bldg-New,,661.5,"New 13'6"" X 49' ( 661.5 Sf )  Detached Prefab Second Dwelling Unit To The Rear Per Za Memorandum No.120.  Comply With Department Order Effective Date
01/16/2013. Permit Will Expire 30 Days From Issuance Date",91406.0,1.0
Permits with CofO,195,CofO Issued,6.0,2008-06-13 12:58:00,1.0,2007-03-21 00:00:00,7644 N KESTER AVE,1 or 2 Family Dwelling,Building,06014-20000-10298,Bldg-Addition,,640.0,"Add'N Of 172 S.F. To (E) Acc. Bldg. (Storage) To Enlarge The Floor Area To Max.  640 S.F.  And Convert To 2nd Dwelling, Including Remodel,  Per Za-2004-5067 (Zv)(Zaa).",91405.0,1.0
Permits with CofO,170,CofO Issued,3.0,2008-03-14 13:25:00,1.0,2006-06-23 00:00:00,7644 N MILWOOD AVE,1 or 2 Family Dwelling,Building,06010-20000-02188,Bldg-New,,640.0,"New 2nd Dwlg.  W/Att. 2-Car Req'D Garage And One Open Parking Stall, Per Ab 1866 &
Type V.",91304.0,1.0
Applications Submitted,558,Reviewed by Supervisor,2.0,,1.0,,7651 N CLAYBECK AVE,1 or 2 Family Dwelling,Building,16016-20000-23522,Bldg-Alter/Repair,2016-09-30 00:00:00,,"Convert Accessory Living Quarters Of 43'-5"" X 32'-7"" Irr. To 2nd Dwelling Unit Per Ord. 184510. All Work Per Engineering. See Comments.",91505.0,1.0
Permits with CofO,221,CofO Issued,2.0,2008-09-19 16:03:00,1.0,2007-08-06 00:00:00,7656 N DELIA AVE,1 or 2 Family Dwelling,Building,07010-20000-03181,Bldg-New,,1988.0,Second Dwelling Unit<638sqft> With Two Car Garage & One Car Carport,91352.0,1.0
Applications Submitted,402,Reviewed by Supervisor,6.0,,1.0,,7661 N HINDS AVE,1 or 2 Family Dwelling,Building,15014-20000-00190,Bldg-Addition,2015-01-16 00:00:00,680.0,"Convert (E) Rec. Room To 2nd Dwelling - Enlose Cover Porch To Dining Room And Kitchen; Create 2 Bedrooms, Bathroom And Living Room In (E) Rec. Room;   All Work Per Wfpp.
Permit Will Expire 30 Days From Issuance Date.  ",91605.0,1.0
Permits without CofO ,454,Issued,12.0,,1.0,2017-06-13 15:57:00,7673-7675 N MARLBOROUGH CT,1 or 2 Family Dwelling,Building,17014-30000-00596,Bldg-Addition,,2753.0,"Convert (E) Attached Garage And 242 Sq. Ft. Of (E) Dwelling Into Accessory Dwelling Unit (Adu), Attached Laundry And Storage. Adu Per Ab 2299 And Sb 1069. See Comments. Comply With Department Order Effective Date 01/11/2017. Permit Will Expire 30 Days From Issuance Date.",91304.0,1.0
Applications Submitted,247,PC Info Complete,4.0,,,,7691 W MULHOLLAND DR,1 or 2 Family Dwelling,Building,12016-20000-09779,Bldg-Alter/Repair,2012-05-17 00:00:00,,"To Correct Residential Floor Area,  And Revise Structural Inventory On Original Permit:07010-20000-00761. The Areas In Structural Invetory Do Not Include The Second Dwelling Unit.
",90068.0,1.0
Permits with CofO,391,CofO Issued,4.0,2012-01-19 09:56:00,1.0,2010-09-02 12:28:00,7693 W MULHOLLAND DR,1 or 2 Family Dwelling,Building,10014-20000-02144,Bldg-Addition,,863.0,Convert (E) Rec. Room To Second Dwelling Unit Per Zi No.120 And Add 222 Sq.Ft. Mezzanine,90068.0,1.0
Permits with CofO,641,CofO Issued,3.0,2015-03-26 07:50:00,1.0,2014-02-19 10:42:00,7702 N JORDAN AVE,1 or 2 Family Dwelling,Building,13010-20000-02490,Bldg-New,,1061.0,"New One (1) Story, 2nd Dwelling Unit (Irregular Shape 30'-8"" X 40' - 1061 Sq. Ft.), Per Za Memorandum 120",91304.0,1.0
Permits with CofO,228,CofO Issued,2.0,2008-10-14 13:53:00,1.0,2005-09-14 00:00:00,7710 N FULTON AVE,1 or 2 Family Dwelling,Building,05014-20000-05263,Bldg-New,,618.0,"New Sfd W/ Attached 2-Car Garage Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Kitchen, And Living/Dining Room.  All Work To Be Per Type V Sheet.",91605.0,1.0
Applications Submitted,228,PC Approved,3.0,,1.0,,7719 N WILBUR AVE,1 or 2 Family Dwelling,Building,12010-20000-00076,Bldg-New,2012-01-09 00:00:00,,"New 30'0"" X 63'0"" Irr-Shaped 2nd Dwelling Unit (1200 Sqft) With Attached Garage (400 Sqft) Per Za Memorandum No. 120  <Fire Sprinklers Thru-Out>",91335.0,1.0
Permits with CofO,364,CofO Issued,2.0,2011-07-28 10:07:00,1.0,2011-03-09 15:36:00,7723 N FERNCOLA AVE,1 or 2 Family Dwelling,Building,10010-10000-02723,Bldg-New,,1061.0,"New 39'-6"" X 44'-0"" One Story , Type V-B, Second Dwelling Unit With Attachted One Car Garage Per Za Memorandum #120 (Ab 1866)
This Structure Is In Compliance To The Departments Type V Sheet.",91352.0,1.0
Permits without CofO ,64,Issued,6.0,,0.0,2008-09-25 15:13:00,7740 N RIVERTON AVE,1 or 2 Family Dwelling,Building,06014-20000-09671,Bldg-Addition,,384.0,Add (18'X20') 2-Car Carport To & Convert (E) 19'X20.25' Detached  Garage To Second Dwelling Unit. ((The Permit Will Expire 30-Days From Issuance Date)) Per Type V.,91352.0,1.0
Permits with CofO,976,Permit Finaled,12.0,,1.0,2006-04-28 00:00:00,7746 N JELLICO AVE,1 or 2 Family Dwelling,Building,05010-20002-05851,Bldg-Alter/Repair,,639.0,"Convert (E) Accessory Living Quarters (Per Application 05010-20001-05851) To Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Kitchen, And Living Room.  (20' Fire Lane Required With Turnaround - Field Inspector To Verify Per Fire Dept Request).  All Work To Be Per Type V Sheet.",91325.0,1.0
Permits without CofO ,357,Issued,2.0,,1.0,2017-01-05 10:14:00,7752-7754 N MARY ELLEN AVE,1 or 2 Family Dwelling,Building,16016-20000-23488,Bldg-Alter/Repair,,0.0,"Supplemental Permit To 16014-20000-03292 To Change The Work Description To: Irregular Shaped Addition Of  36'2"" X 33'6"" To Rebuild Attached Garage,  Create A Family Room, A Laundry Room, And To Create An Attached 12'6"" X 36'2"" 2nd Dwelling Per Ordinance 184510.",91605.0,1.0
